user_id,movie_id,rating
87980,while+you+were+sleeping+1995,3
29044,hoop+dreams+1994,5
199885,casablanca+1942,5
123552,titanic+1997,3
19159,annie+hall+1977,5
113143,the+empire+strikes+back+1980,3
91103,cyrano+de+bergerac+1990,3
48012,little+big+league+1994,3
37695,waynes+world+1992,3
6587,kolya+1996,4
168976,bridget+joness+diary+2001,4
85899,flight+of+the+navigator+1986,5
94436,grease+1978,2
25167,the+bourne+identity+2002,4
82552,psycho+1960,5
199885,aliens+1986,5
37695,austin+powers+international+man+of+mystery+1997,2
71937,independence+day+1996,3
94436,good+bye_+lenin+2003,4
12934,the+net+1995,3
87980,the+usual+suspects+1995,5
156719,pretty+woman+1990,3
42095,the+great+escape+1963,4
95097,jackie+brown+1997,3
123552,scott+pilgrim+vs.+the+world+2010,4
159116,the+gods+must+be+crazy+1980,3
167130,logans+run+1976,2
82552,quantum+of+solace+2008,2
29044,star+trek+the+motion+picture+1979,3
113143,star+wars+1977,5
56335,se7en+1995,3
87758,mrs.+doubtfire+1993,5
48012,body+snatchers+1993,4
54161,some+like+it+hot+1959,3
37695,pretty+in+pink+1986,2
179915,on+the+waterfront+1954,5
103718,sideways+2004,4
94436,barbarella+1968,4
167130,20_000+leagues+under+the+sea+1954,3
193072,dr.+no+1962,4
87758,the+secret+garden+1993,2
199885,the+return+of+the+pink+panther+1975,5
42095,the+treasure+of+the+sierra+madre+1948,5
94494,star+trek+first+contact+1996,3
151262,x-men+2000,4
32959,ace+ventura+pet+detective+1994,3
158191,love+actually+2003,5
113143,raiders+of+the+lost+ark+1981,5
159116,mchales+navy+1997,3
19636,galaxy+quest+1999,3
151262,innerspace+1987,4
19159,the+opposite+of+sex+1998,3
178129,duck+soup+1933,4
19159,glengarry+glen+ross+1992,5
113143,american+graffiti+1973,4
216171,the+truman+show+1998,5
25167,the+green+mile+1999,5
167130,stigmata+1999,3
87980,sabrina+1995,3
156453,boyz+n+the+hood+1991,1
95097,body+snatchers+1993,1
116825,a+close+shave+1995,4
71937,executive+decision+1996,2
178129,and+now+for+something+completely+different+1971,5
29086,boyhood+2014,5
95097,goodbye_+dragon+inn+2003,4
48012,just+cause+1995,3
87758,the+fast+and+the+furious+2001,4
159116,night+shift+1982,3
23573,the+birdcage+1996,1
123552,star+wars+episode+ii+-+attack+of+the+clones+2002,1
30531,the+departed+2006,5
216171,pulp+fiction+1994,4
94494,house+of+games+1987,5
85899,meet+the+parents+2000,5
56335,leon+the+professional+1994,3
54161,anna+karenina+1997,4
29704,the+burbs+1989,2
32959,sleepless+in+seattle+1993,5
85899,the+truth+about+cats++dogs+1996,3
82552,the+rules+of+the+game+1939,5
190072,road+trip+2000,1
123552,saving+private+ryan+1998,4
156719,ghost+1990,3
119279,forrest+gump+1994,5
151262,liar+liar+1997,3
94494,e.t.+the+extra-terrestrial+1982,4
23573,20_000+leagues+under+the+sea+1954,4
123552,zombieland+2009,4
103718,annie+hall+1977,4
156719,fargo+1996,4
6587,crumb+1994,3
85899,blazing+saddles+1974,5
192073,beverly+hills+cop+iii+1994,3
21149,so+i+married+an+axe+murderer+1993,4
37695,scream+2+1997,3
29044,indiana+jones+and+the+last+crusade+1989,4
29086,roma+1972,5
120009,forrest+gump+1994,4
85899,james+and+the+giant+peach+1996,4
25167,the+silence+of+the+lambs+1991,4
95097,jerry+maguire+1996,4
167130,e.t.+the+extra-terrestrial+1982,5
29704,the+naked+gun+33+the+final+insult+1994,2
12934,the+jerk+1979,5
113458,gattaca+1997,5
56335,tombstone+1993,3
190296,being+john+malkovich+1999,5
216171,magnolia+1999,4
156719,jumanji+1995,3
23573,schindlers+list+1993,5
202605,the+thin+red+line+1998,2
159116,ghostbusters+1984,3
12934,the+sixth+sense+1999,4
82552,day+of+wrath+1943,5
32959,ghost+1990,5
216171,much+ado+about+nothing+1993,4
126105,the+american+2010,2
30531,american+history+x+1998,4
23547,kill+bill+vol.+1+2003,5
23573,toy+story+1995,5
177452,the+bridges+of+madison+county+1995,4
86942,dumb+and+dumber+1994,3
34335,the+cable+guy+1996,1
192962,head-on+2004,5
91103,the+right+stuff+1983,3
151262,the+wrong+trousers+1993,5
123552,south+park+bigger_+longer++uncut+1999,3
14149,the+mosquito+coast+1986,2
12934,interview+with+the+vampire+1994,4
126105,office+space+1999,4
110665,beauty+and+the+beast+1991,1
120861,sling+blade+1996,4
174687,true+lies+1994,4
120861,fargo+1996,5
103718,requiem+for+a+dream+2000,4
156453,the+green+mile+1999,4
192962,iron+man+2008,1
29704,arachnophobia+1990,2
34088,cliffhanger+1993,3
126558,monsters_+inc.+2001,4
56335,speed+1994,4
185329,like+water+for+chocolate+1992,4
54161,2001+a+space+odyssey+1968,5
190296,who+framed+roger+rabbit+1988,4
29704,das+boot+1981,5
199885,saving+private+ryan+1998,5
110665,harry+potter+and+the+philosophers+stone+2001,1
91103,the+39+steps+1935,4
56335,coneheads+1993,3
165070,a+room+with+a+view+1985,4
192962,fiddler+on+the+roof+1971,4
189057,the+great+dictator+1940,3
23547,ace+ventura+pet+detective+1994,4
216171,good+will+hunting+1997,4
184466,arlington+road+1999,4
156719,speed+1994,4
32959,stargate+1994,3
94055,taxi+driver+1976,3
113458,diamonds+are+forever+1971,5
